,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
516,eom,euclidean,25,3,45,0.1,euclidean,84.0
494,eom,euclidean,25,9,45,0.1,euclidean,86.0
287,eom,euclidean,25,9,45,0.1,euclidean,87.0
419,eom,euclidean,25,20,45,0.1,cosine,88.0
272,eom,euclidean,25,9,45,0.1,euclidean,91.0
381,eom,euclidean,25,23,45,0.1,euclidean,92.0
82,eom,euclidean,25,9,45,0.1,euclidean,93.0
274,eom,euclidean,25,23,45,0.1,euclidean,94.0
257,eom,euclidean,25,13,45,0.1,euclidean,94.0
346,eom,euclidean,25,13,45,0.05,euclidean,95.0
524,eom,euclidean,25,20,45,0.1,euclidean,95.0
483,eom,euclidean,25,9,45,0.1,cosine,96.0
115,eom,euclidean,25,9,55,0.1,cosine,96.0
394,eom,euclidean,25,17,45,0.05,euclidean,97.0
429,eom,euclidean,25,3,25,0.1,cosine,97.0
464,eom,euclidean,25,13,45,0.1,cosine,99.0
307,eom,euclidean,25,7,25,0.15,cosine,99.0
405,eom,euclidean,25,20,45,0.1,cosine,99.0
479,eom,euclidean,25,13,40,0.1,cosine,99.0
188,eom,euclidean,25,23,45,0.1,cosine,100.0
469,eom,euclidean,25,9,45,0.1,cosine,100.0
150,eom,euclidean,25,9,45,0.1,cosine,100.0
300,eom,euclidean,25,9,45,0.1,cosine,101.0
415,eom,euclidean,25,3,45,0.1,cosine,101.0
237,eom,euclidean,25,5,45,0.1,euclidean,101.0
293,eom,euclidean,25,7,45,0.1,cosine,102.0
406,eom,euclidean,25,9,45,0.1,cosine,102.0
460,eom,euclidean,25,7,45,0.1,euclidean,102.0
475,eom,euclidean,25,20,20,0.15,cosine,103.0
408,eom,euclidean,25,17,45,0.1,cosine,103.0
221,eom,euclidean,25,17,25,0.15,cosine,104.0
302,eom,euclidean,25,20,40,0.1,cosine,104.0
118,eom,euclidean,25,13,45,0.1,cosine,105.0
253,eom,euclidean,5,5,45,0.1,cosine,105.0
251,eom,euclidean,25,20,40,0.1,euclidean,106.0
243,eom,euclidean,25,7,45,0.1,euclidean,107.0
431,eom,euclidean,25,9,55,0.1,euclidean,109.0
310,eom,euclidean,25,9,45,0.1,cosine,109.0
154,eom,euclidean,25,9,40,0.1,cosine,110.0
433,eom,euclidean,25,7,20,0.15,cosine,111.0
397,eom,euclidean,25,23,45,0.1,cosine,111.0
448,eom,euclidean,20,9,45,0.15,cosine,112.0
485,eom,euclidean,25,13,25,0.1,cosine,112.0
428,eom,euclidean,25,5,45,0.05,cosine,114.0
95,eom,euclidean,25,9,45,0.1,cosine,115.0
105,eom,euclidean,25,9,45,0.1,cosine,115.0
359,eom,euclidean,25,5,45,0.1,cosine,116.0
60,eom,euclidean,25,3,10,0.15,euclidean,118.0
294,eom,euclidean,25,13,25,0.1,euclidean,120.0
546,eom,euclidean,20,5,45,0.1,euclidean,120.0
376,eom,euclidean,25,20,20,0.1,cosine,120.0
567,eom,euclidean,20,5,40,0.1,euclidean,120.0
541,eom,euclidean,20,5,45,0.1,euclidean,120.0
111,eom,euclidean,25,20,20,0.1,cosine,121.0
443,eom,euclidean,25,3,25,0.1,cosine,121.0
186,eom,euclidean,25,20,45,0.1,cosine,121.0
